time(s),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
7489.129951326537,-2899046.347129037,-6237193.223675984,-8193.159249313389,-6903.4115310526495,3208.685823102092,4.214920555915629
7542.065714221519,-3259300.1854481297,-6056733.749609596,-7956.108198295627,-6703.675889535837,3607.4187283203923,4.7386949642495
7596.29288812741,-3616734.616577405,-5850325.191949852,-7684.970504996673,-6475.219490163972,4003.0310115452544,5.258370132423214
7651.596531799033,-3967840.8750074306,-5618124.763521485,-7379.952683735212,-6218.216350915781,4391.639135988353,5.768844657575539
7707.718065756158,-4308940.054911233,-5360982.712096196,-7042.171617561853,-5933.607549200954,4769.171254482658,6.26476977286826
7764.354884153508,-4636317.281946916,-5080519.158667935,-6673.755492798644,-5623.1862666706975,5131.5157121863895,6.74074442021502
7821.175632633062,-4946454.745924253,-4779091.001148118,-6277.8003238273905,-5289.561156915628,5474.77896924667,7.191654056757487
7877.848169024362,-5236303.261272738,-4459626.159254322,-5858.152217647673,-4935.972884826878,5795.586166108828,7.613065476599374
7934.069180175505,-5503495.167198755,-4125371.4455739125,-5419.076178024324,-4566.015066689568,6091.316762752129,8.00153634583517
7989.583474165913,-5746429.271690868,-3779644.127283668,-4964.929757670107,-4183.359295630801,6360.1985547014365,8.354738701715217
8044.188172861738,-5964229.67673375,-3425658.0448258626,-4499.934648233998,-3791.562688039959,6601.262099616331,8.671399087543012
8097.725002043294,-6156631.493182921,-3066441.900360147,-4028.0693442443617,-3393.977444844268,6814.214224846476,8.951132392560298
8150.066785632795,-6323850.510358036,-2704828.935071094,-3553.0555832495565,-2993.7394268768203,6999.293776132707,9.194252363851785
8201.102777035743,-6466471.330467045,-2343488.8340030834,-3078.4002559181426,-2593.80346811892,7157.147803540582,9.40160896454019
8250.72477214175,-6585365.911085241,-1984981.7895576104,-2607.4664236949225,-2197.003214321523,7288.741403447332,9.574469942477155
8298.813827060441,-6681642.028481084,-1631827.560092695,-2143.564033980385,-1806.1275582990725,7395.300677289205,9.71444590101626
8345.225934207085,-6756617.472729729,-1286594.4326326386,-1690.066781292789,-1424.0191052704974,7478.284170545554,9.823452781343898
8389.773421454667,-6811817.084753924,-952027.0582942097,-1250.5800315198126,-1053.71566296227,7539.379593412688,9.903707554765774
8432.195573685729,-6848994.220439189,-631258.6234247983,-829.219529321168,-698.6850755115877,7580.527577607241,9.957759429576141
8472.102701768004,-6870187.708985923,-328224.21602459514,-431.154395083128,-363.2827428435089,7603.984718524358,9.988572663057187
8504.336046472381,-6877523.345986431,-82965.48765402302,-108.9832282197267,-91.82726874973753,7612.103866203026,9.999237952317028
8532.340475527593,-6876791.056156965,130212.85362271618,171.04723355189265,144.12122506582327,7611.293360903157,9.99817327486419
8559.133123984428,-6869906.787819896,334052.424689893,438.8103133817043,369.7334501134113,7603.673791200914,9.98816422981092
8591.489481377826,-6853541.172621063,579812.8329089074,761.6404854647701,641.7441922234736,7585.560182472791,9.964370244990004
8627.641295836287,-6824861.420625793,853507.3312694617,1121.1647987755825,944.6727452691707,7553.817177383788,9.92267272393859
8666.739050300394,-6781549.163894252,1147953.4291065503,1507.9483540389813,1270.5694414461955,7505.878785041271,9.859700988330435
8708.284191623185,-6721613.583870869,1458462.9427680932,1915.832766565886,1614.2453445290473,7439.541548595444,9.77256058352513
8751.95025359284,-6643304.653644809,1781488.969500927,2340.158835004608,1971.7747032737038,7352.868520863444,9.658707141221495
8797.50823920177,-6545068.830203833,2114064.5965279615,2777.0292311836793,2339.873707366786,7244.14022398684,9.515881960203355
8844.789139253186,-6425528.076694694,2453523.6989342067,3222.941741010364,2715.591462828366,7111.831430956694,9.342081506617031
8893.662038474027,-6283475.5168225,2797341.3370930823,3674.5796109845537,3096.1333416748807,6954.60635575348,9.135551095752833
8944.019177764732,-6117886.578618047,3143030.3008246077,4128.675648899707,3478.746475457596,6771.3309872825175,8.8948010938675
8995.763785793397,-5927947.923600514,3488065.456247277,4581.912846082999,3860.6360211207207,6561.105108383961,8.618648978264511
9000.0,-5911528.343051985,3515821.26067301,4618.372791702384,3891.3565210182687,6542.931762171174,8.594776522453929
